point,W,scheme,rep,seed,pairwise_infeasible,winner_scan_feasible,n_zero_win_pairs,n_positive_share_pairs,worst_slack,t_draw,t_ctx
upper_candidate,8000,plain,2,800002001,true,false,3,400,-0.7017469231497655,0.002334117889404297,3.3114140033721924
upper_candidate,8000,plain,3,800003001,true,false,2,400,-0.9227700149181075,0.0021049976348876953,3.242492914199829
upper_candidate,8000,plain,4,800004001,true,false,1,400,-0.706782358928959,0.002093076705932617,3.1333189010620117
upper_candidate,8000,plain,5,800005001,true,false,4,400,-0.806745764641768,0.002214193344116211,3.1303300857543945
upper_candidate,8000,plain,6,800006001,true,false,1,400,-0.9472560352094241,0.002357006072998047,3.3884599208831787
upper_candidate,8000,plain,7,800007001,false,true,0,400,0.05184757206571611,0.002103090286254883,3.377984046936035
upper_candidate,8000,plain,8,800008001,true,false,2,400,-0.32415108379005186,0.0021619796752929688,1.3370471000671387
upper_candidate,8000,plain,9,800009001,true,false,3,400,-0.3711134869910353,0.0023488998413085938,3.2244110107421875
upper_candidate,8000,plain,10,800010001,true,false,3,400,-0.05559410847951263,0.0021619796752929688,3.2069880962371826
upper_candidate,8000,plain,11,800011001,true,false,5,400,-0.940590927203707,0.002151966094970703,3.0479540824890137
upper_candidate,8000,plain,12,800012001,true,false,4,400,-0.5390851955215794,0.002254009246826172,3.060948133468628
upper_candidate,8000,plain,13,800013001,true,false,3,400,-1.1256466287435973,0.002113819122314453,3.2237730026245117
upper_candidate,8000,plain,14,800014001,true,false,6,400,-0.31602855295160914,0.0022220611572265625,3.064131021499634
upper_candidate,8000,plain,15,800015001,true,false,4,400,-0.32614622074679644,0.002146005630493164,3.205772876739502
upper_candidate,8000,stratified,1,800001002,true,false,3,400,-0.808573368090542,0.0038590431213378906,3.3293309211730957
upper_candidate,8000,stratified,2,800002002,false,false,1,400,0.1757847931021157,0.003798961639404297,3.448019027709961
upper_candidate,8000,stratified,3,800003002,false,true,0,400,0.3776524382239419,0.003823995590209961,3.3926498889923096
upper_candidate,8000,stratified,4,800004002,false,true,0,400,0.0660634704250711,0.0039899349212646484,3.400521993637085
upper_candidate,8000,stratified,5,800005002,true,false,1,400,-1.1016507758119918,0.0037949085235595703,3.3938817977905273
upper_candidate,8000,stratified,6,800006002,false,true,0,400,0.5119170479927924,0.0037899017333984375,3.417752981185913
upper_candidate,8000,stratified,7,800007002,true,false,2,400,-0.3528772674516034,0.003815174102783203,3.426427125930786
upper_candidate,8000,stratified,8,800008002,true,false,1,400,-0.169464530145774,0.004057884216308594,3.4372739791870117
upper_candidate,8000,stratified,9,800009002,true,false,2,400,-0.12177632483915524,0.0038361549377441406,3.351008176803589
upper_candidate,8000,stratified,10,800010002,true,false,2,400,-0.39831308560581924,0.003776073455810547,3.3776028156280518
upper_candidate,8000,stratified,11,800011002,false,false,1,400,0.030290320360226275,0.004208087921142578,3.387813091278076
upper_candidate,8000,stratified,12,800012002,true,false,1,400,-0.5281113734303808,0.0041501522064208984,3.685635805130005
upper_candidate,8000,stratified,13,800013002,true,false,3,400,-0.4088851075505371,0.0041811466217041016,3.2422139644622803
upper_candidate,8000,stratified,14,800014002,true,false,1,400,-0.48815142635296027,0.0040361881256103516,3.3945541381835938
upper_candidate,8000,stratified,15,800015002,true,false,1,400,-0.14490506693845262,0.0038309097290039062,3.4380269050598145
