direction,h,gammap_target,deltastar,nStatus,fd_slope,envelope_slope,warm
random3,-0.001,0.8930826633437481,0.1683863118299144,0,-0.11802197130666991,-0.23799563564715703,true
random3,0.001,0.8930826633437481,0.1681099357353112,0,-0.15835412329653908,-0.23799563564715703,true
random3,0.003,0.8930826633437481,0.16797400473469715,0,-0.09809504130352716,-0.23799563564715703,true
random3,0.01,0.8930826633437481,0.1675383207904572,0,-0.07299690681505377,-0.23799563564715703,true
random3,0.03,0.8930826633437481,0.16615476558913203,0,-0.07045080898252325,-0.23799563564715703,true
random3[COLD@hmax],-0.03,0.8930826633437481,0.17162172847507987,0,NaN,NaN,false
baseline(h=0),0.0,0.9227466791938163,0.001959486252431521,0,NaN,NaN,false
competitor_swap,-0.03,0.9227466791938163,0.00251193187897488,0,-0.018414854218111974,-0.016207069545900316,true
competitor_swap,-0.01,0.9227466791938163,0.002071421683518432,0,-0.011193543108691103,-0.016207069545900316,true
competitor_swap,-0.003,0.9227466791938163,0.0019795567010669223,0,-0.006690149545133823,-0.016207069545900316,true
competitor_swap,-0.001,0.9227466791938163,0.0019716559787627767,0,-0.0121697263312558,-0.016207069545900316,true
competitor_swap,0.001,0.9227466791938163,0.0019665032591832197,0,0.0070170067516988135,-0.016207069545900316,true
competitor_swap,0.003,0.9227466791938163,0.001971391283954607,0,0.003968343841028738,-0.016207069545900316,true
competitor_swap,0.01,0.9227466791938163,0.0020278328238035595,0,0.00683465713720386,-0.016207069545900316,true
competitor_swap,0.03,0.9227466791938163,0.0022908236827582297,0,0.011044581010890295,-0.016207069545900316,true
competitor_swap[COLD@hmax],-0.03,0.9227466791938163,0.002511931878974853,0,NaN,NaN,false
random1,-0.03,0.9227466791938163,0.002084361426878507,0,-0.004162505814899531,0.006375384418820026,true
random1,-0.01,0.9227466791938163,0.0019314420075510676,0,0.0028044244880453227,0.006375384418820026,true
random1,-0.003,0.9227466791938163,0.0019169067671214403,0,0.014193161770026863,0.006375384418820026,true
random1,-0.001,0.9227466791938163,0.001965447899914798,0,-0.0059616474832771375,0.006375384418820026,true
random1,0.001,0.9227466791938163,0.0019540173507023744,0,-0.005468901729146439,0.006375384418820026,true
