gamma_target,direction_id,h,ad_slope,fixed_dual_fd_slope,boundary_slope,full_profile_slope,fd_minus_profile,boundary_minus_profile,winner_switch_count,statusp,statusm
0.9668202506346054,coord_1,0.03,0.017889373003875983,-0.003333740258066242,-0.005369861535933447,-0.0033105113067297856,-2.3228951336456364e-5,-0.0020593502292036614,408,0,0
0.9668202506346054,coord_1,0.1,0.017889373003875983,-0.004727103088148265,-0.005369861535933447,-0.004476582836885671,-0.0002505202512625938,-0.0008932786990477762,1456,0,0
0.9668202506346054,coord_2,0.03,-0.07748403773388858,-0.01836501047206548,-0.016438265911506038,-0.018340799193314113,-2.4211278751368887e-5,0.0019025332818080748,818,0,0
0.9668202506346054,coord_2,0.1,-0.07748403773388858,-0.017117004262050012,-0.016438265911506038,-0.016597465229515142,-0.00051953903253487,0.00015919931800910392,2754,0,0
0.9668202506346054,coord_3,0.03,0.01645837340964737,-0.006047527679803712,-0.00589195231867163,-0.006067087729116804,1.9560049313091868e-5,0.00017513541044517425,401,0,0
0.9668202506346054,coord_3,0.1,0.01645837340964737,-0.006051160570275855,-0.00589195231867163,-0.005943978405408847,-0.000107182164867008,5.202608673721739e-5,1406,0,0
0.9668202506346054,coord_4,0.03,0.011357183415205977,-0.004030519077467083,-0.004129263148991341,-0.0040257120092059995,-4.807068261083319e-6,-0.00010355113978534163,295,0,0
0.9668202506346054,coord_4,0.1,0.011357183415205977,-0.003986064709837014,-0.004129263148991341,-0.003959210340541081,-2.685436929593301e-5,-0.00017005280845026026,988,0,0
0.9668202506346054,random_1,0.03,0.008854847658201642,0.006309014946732482,0.005328596275029719,0.0063247064388122515,-1.5691492079769262e-5,-0.0009961101637825324,568,0,0
0.9668202506346054,random_1,0.1,0.008854847658201642,0.0054885764773714325,0.005328596275029719,0.005397740493672271,9.083598369916124e-5,-6.914421864255213e-5,1968,0,0
0.9668202506346054,random_2,0.03,-0.01194697208706002,-0.0017739772748513304,-0.0027179232797709396,-0.0017932788895131675,1.930161466183705e-5,-0.0009246443902577721,400,0,0
0.9668202506346054,random_2,0.1,-0.01194697208706002,-0.0026738269377131344,-0.0027179232797709396,-0.0027182208780811637,4.4393940368029315e-5,2.975983102240787e-7,1340,0,0
0.9668202506346054,random_3,0.03,-0.05286296223873842,-0.010151484822421038,-0.01017159774224256,-0.010110598164287238,-4.088665813379959e-5,-6.099957795532157e-5,665,0,0
0.9668202506346054,random_3,0.1,-0.05286296223873842,-0.010507077305876023,-0.01017159774224256,-0.010439150447326783,-6.792685854923979e-5,0.00026755270508422267,2182,0,0
0.9668202506346054,random_4,0.03,-0.05280848389833267,-0.0018004000749103177,-0.0002589230020089562,-0.0018027009962686958,2.3009213583780486e-6,0.0015437779942597395,770,0,0
0.9668202506346054,random_4,0.1,-0.05280848389833267,-0.000614593824358081,-0.0002589230020089562,-0.000934631622191086,0.00032003779783300497,0.0006757086201821297,2548,0,0
0.9668202506346054,random_5,0.03,-0.04644249796157364,-0.016119334289654973,-0.013307898197967426,-0.016149446290707078,3.0112001052105125e-5,0.002841548092739652,501,0,0
0.9668202506346054,random_5,0.1,-0.04644249796157364,-0.014028484516973123,-0.013307898197967426,-0.013898625600574751,-0.00012985891639837217,0.0005907274026073252,1794,0,0
0.9668202506346054,random_6,0.03,-0.024094734049238103,0.0012689403805753493,0.002578631941536253,0.0012064321025723654,6.250827800298388e-5,0.0013721998389638877,470,0,0
0.9668202506346054,random_6,0.1,-0.024094734049238103,0.0017589390117657509,0.002578631941536253,0.001491480240632813,0.0002674587711329378,0.00108715170090344,1574,0,0
0.9668202506346054,random_7,0.03,0.06062012807106233,0.010624116880788244,0.010717847050464656,0.01060978825887709,1.4328621911153736e-5,0.00010805879158756575,796,0,0
0.9668202506346054,random_7,0.1,0.06062012807106233,0.011091015302932987,0.010717847050464656,0.010913459417411737,0.00017755588552124946,-0.00019561236694708162,2599,0,0
0.9668202506346054,random_8,0.03,0.014565984329086139,0.009884537630328401,0.009722238611417746,0.009843724922880569,4.08127074478324e-5,-0.00012148631146282306,410,0,0
0.9668202506346054,random_8,0.1,0.014565984329086139,0.009761598680586625,0.009722238611417746,0.009762007405637596,-4.0872505097100387e-7,-3.97687942198504e-5,1494,0,0
0.9668202506346054,random_9,0.03,0.03172937892892047,0.011170651068626605,0.010784229316360028,0.011161178624383237,9.47244424336774e-6,-0.00037694930802320906,378,0,0
0.9668202506346054,random_9,0.1,0.03172937892892047,0.011208930859857445,0.010784229316360028,0.011183616864737103,2.5313995120341062e-5,-0.0003993875483770757,1262,0,0
0.9668202506346054,random_10,0.03,0.0711383731282161,0.013366214201282247,0.012190862755021336,0.013394002125969445,-2.7787924687197943e-5,-0.0012031393709481097,894,0,0
0.9668202506346054,random_10,0.1,0.0711383731282161,0.013360765442328556,0.012190862755021336,0.013271594616823859,8.917082550469711e-5,-0.0010807318618025231,2993,0,0
