g,start_id,start_kind,knitro_status,n_eval,wall,best_Delta,best_gravity,best_kkt,aod1,aod2,aod3,aod4,aod5,aod6,aod7,aod8,aod9,aod10,aod11,aod12,aod13,aod14,aod15,aod16,zf1,zf2,zf3,zf4,zf5,zf6,zf7,zf8,zf9,zf10,zf11,zf12,zf13,zf14,zf15
0.95,3,calib,-101,61,2.1626100540161133,0.016816034809572018,-5.051704497424647e-18,9.992007221626408e-18,1.299579207964169,1.1877105588539558,1.2527345317539569,1.394439988205237,2.885697561459056,2.4920401733241953,2.716624120322419,2.892815542866644,2.098284054193675,1.904183848855226,1.9864808638245668,2.209588461526447,3.9616608767351664,3.867585824906167,3.0893032422779063,3.992141250221314,0.2620405258884033,0.17202755392773764,0.22532878734898373,0.33249289252707537,1.059766659801061,0.9131017217118773,0.9993899772310119,1.062230264150209,0.7411198936566399,0.6440534909803298,0.6863646631149005,0.7928062816853454,1.3766633506541701,1.3526304945326724,1.1279455775474745
0.95,4,incumbent+0.5r,0,1,0.03152608871459961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.95,5,incumbent+1.5r,0,1,0.01915597915649414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.95,6,calib+0.5r,0,1,0.03598308563232422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.95,7,calib+1.5r,0,1,0.025736093521118164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.95,8,uniform[-2,2]#1,0,1,0.020801067352294922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.95,9,uniform[-2,2]#2,0,1,0.02289891242980957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.955,1,continuation,-101,45,1.3880410194396973,0.005439309095200652,-3.2255014631443757e-18,1.9317880628477722e-17,1.3036224698916257,1.18244588199055,1.2446039528292867,1.456906587194275,2.7891020865004292,2.6177962185462493,2.5763868957414156,2.9087597354056793,2.086805368652011,1.8807143484743656,1.9943176660600064,2.3128195208078957,4.1796791510639775,3.7674597175488165,3.106354902535105,4.088472483985647,0.2651469046320622,0.1675850745781465,0.2188173691316159,0.3763154120446767,1.0257197112384409,0.962332825858528,0.9463879894105526,1.067726782566685,0.7356343648348304,0.6316516772633014,0.6903019698138946,0.8384673520198587,1.4302344854719442,1.326400959370793,1.1334499817324324
0.955,2,incumbent,-401,580,18.013803005218506,0.005028943193532977,-5.7462715141731735e-18,1.2717382702476243e-14,1.3126287504382557,1.274217673309178,1.2467376781102437,1.4264438536895223,2.831200716033715,2.760368410597478,2.592490694183993,2.9569231788139487,2.1055618189909797,2.0450888944601098,1.9905791826208696,2.2503500229253093,4.138224274781616,4.236373809167325,3.1387684986287065,4.076158554557908,0.27203180624459006,0.24233240072584603,0.22053028218710952,0.3551845314082199,1.0407009029572913,1.0153641529216513,0.952619071600732,1.0841492610989658,0.7445823289064627,0.7154412577236557,0.6884256429337227,0.811085769861815,1.4202667766902242,1.443707669635938,1.143830525101508
0.955,3,calib,-401,519,18.294581174850464,0.004993676127379664,-5.5938055836673994e-18,1.1546319456101627e-17,1.3213838895315277,1.2801466993175181,1.3057898796399414,1.391421455089073,2.829767397563031,2.7483456899337226,2.819341171339313,2.8590694003970745,2.129117877103068,2.0531748415547892,2.0742546708472274,2.2065165744267268,4.032193705816771,4.158572187995048,3.482370448316931,4.0388694324386245,0.27867958856984454,0.2469746802062453,0.26680812942633364,0.33032585417368115,1.0401945166033848,1.010999163367447,1.0365032304702995,1.0504961874061989,0.7557077517356339,0.7193872983437204,0.7296018943843469,0.7914150613361104,1.3943105717323365,1.4251717913186683,1.2477132252094145
