target,scramble,seed,W,m,policy,h,cplus,cminus,cmin,secant_fixed_dual,secant_reopt,boundary_p,boundary_m,leverage
0.1,held_out_2,271,320000,6,C_target25,3.8870089365846475e-5,27,25,25,-0.8085915474582189,-0.808639383195592,false,false,1.1372293674543315
0.5,tuning,29,20000,1,B_alpha_half_anchor25,0.0002,2,1,1,-0.25898845048208385,-0.2588813644008314,false,false,0.3819730496717949
0.5,tuning,29,20000,1,C_target25,0.0028548486437011875,25,26,25,-0.35786357814332237,-0.35864378800519797,false,false,0.3819730496717949
0.5,tuning,29,20000,2,B_alpha_half_anchor25,0.0002,3,1,1,-0.20462733319986937,-0.20314749834327017,false,false,0.07251655396717029
0.5,tuning,29,20000,2,C_target25,0.0031612604949946685,27,25,25,-0.04320742772879598,-0.03538143605560228,false,false,0.07251655396717029
0.5,tuning,29,20000,3,B_alpha_half_anchor25,0.0002,0,3,0,-2.1165613746562673,-2.1334053521947225,false,false,0.2982316007191014
0.5,tuning,29,20000,3,C_target25,0.004616559539644604,25,28,25,-2.0522976910903816,-2.0494856205125482,false,false,0.2982316007191014
0.5,tuning,29,20000,4,B_alpha_half_anchor25,0.0002,10,10,10,1.2358912575184677,1.2525147176797868,false,false,1.5901957092207055
0.5,tuning,29,20000,4,C_target25,0.0005505827962586279,25,25,25,1.513092516989161,1.5224798941296156,false,false,1.5901957092207055
0.5,tuning,29,20000,5,B_alpha_half_anchor25,0.0002,8,5,5,-1.8089540171639662,-1.8067848223360383,false,false,0.751197942485476
0.5,tuning,29,20000,5,C_target25,0.0008099224754179632,27,25,25,-1.632888080690909,-1.6308892970458848,false,false,0.751197942485476
0.5,tuning,29,20000,6,B_alpha_half_anchor25,0.0002,11,7,7,-1.2051794038211994,-1.201925371094592,false,false,1.1372293674543315
0.5,tuning,29,20000,6,C_target25,0.0006605246942246045,27,25,25,-1.0003376018322268,-1.0024877085514465,false,false,1.1372293674543315
0.5,tuning,29,20000,7,B_alpha_half_anchor25,0.0002,8,4,4,0.18229352938728405,0.17130518264907302,false,false,0.9924333042822502
0.5,tuning,29,20000,7,C_target25,0.0009931111159397533,26,25,25,0.2517698257121851,0.2308853502657126,false,false,0.9924333042822502
0.5,tuning,29,20000,8,B_alpha_half_anchor25,0.0002,5,3,3,-0.23148722716789805,-0.23146984795302528,false,false,0.36414053330894147
0.5,tuning,29,20000,8,C_target25,0.0012001262123703847,27,25,25,-0.29205856878619113,-0.294207506823992,false,false,0.36414053330894147
0.5,tuning,29,20000,9,B_alpha_half_anchor25,0.0002,12,14,12,1.1687471249245684,1.1672594080019971,false,false,1.4440302098093005
0.5,tuning,29,20000,9,C_target25,0.00039100090677674637,25,30,25,1.229887137037435,1.228304775956598,false,false,1.4440302098093005
0.5,tuning,29,20000,10,B_alpha_half_anchor25,0.0002,3,2,2,-0.25173234219008633,-0.2522886016878556,false,false,0.08745637221810908
0.5,tuning,29,20000,10,C_target25,0.003138322910622115,25,25,25,-0.08982647216694363,-0.09213058353048854,false,false,0.08745637221810908
0.5,tuning,29,20000,11,B_alpha_half_anchor25,0.0002,6,3,3,0.734974653226611,0.7360949778929815,false,false,0.760287900075816
0.5,tuning,29,20000,11,C_target25,0.0011322065591349336,27,25,25,0.4787559415055642,0.4872049420131689,false,false,0.760287900075816
0.5,tuning,29,20000,12,B_alpha_half_anchor25,0.0002,8,4,4,-0.6610765985942679,-0.6610945531010382,false,false,0.8440821262399694
0.5,tuning,29,20000,12,C_target25,0.000753037982626973,28,25,25,-0.7441895152483818,-0.7720871955833709,false,false,0.8440821262399694
0.5,tuning,29,20000,13,B_alpha_half_anchor25,0.0002,0,2,0,0.25199209277682044,0.2516082425264854,false,false,0.3071677326761748
0.5,tuning,29,20000,13,C_target25,0.004484022814166474,25,27,25,0.08367160533440939,0.0834143074793334,false,false,0.3071677326761748
0.5,tuning,29,20000,14,B_alpha_half_anchor25,0.0002,8,12,8,1.1470540129156215,1.146316354054544,false,false,1.2972022936396106
0.5,tuning,29,20000,14,C_target25,0.000508198538359029,25,30,25,1.0588609219594587,1.061227102275159,false,false,1.2972022936396106
0.5,tuning,29,80000,1,B_alpha_half_anchor25,0.0008040458116173869,28,25,25,-0.3470488017656327,-0.3466229105150037,false,false,0.3819730496717949
0.5,tuning,29,80000,1,C_target25,0.0008040458116173869,28,25,25,-0.3470488017656327,-0.3466229105150037,false,false,0.3819730496717949
0.5,tuning,29,80000,2,B_alpha_half_anchor25,0.0007314190286156662,28,25,25,-0.10698773414219453,-0.10711582627013597,false,false,0.07251655396717029
0.5,tuning,29,80000,2,C_target25,0.0007314190286156662,28,25,25,-0.10698773414219453,-0.10711582627013597,false,false,0.07251655396717029
0.5,tuning,29,80000,3,B_alpha_half_anchor25,0.0012266336996634068,25,29,25,-1.940565785291154,-1.9462708073214263,false,false,0.2982316007191014
0.5,tuning,29,80000,3,C_target25,0.0012266336996634068,25,29,25,-1.940565785291154,-1.9462708073214263,false,false,0.2982316007191014
0.5,tuning,29,80000,4,B_alpha_half_anchor25,0.0001452300313988595,25,28,25,1.3265474691908137,1.3298454905912436,false,false,1.5901957092207055
0.5,tuning,29,80000,4,C_target25,0.0001452300313988595,25,28,25,1.3265474691908137,1.3298454905912436,false,false,1.5901957092207055
0.5,tuning,29,80000,5,B_alpha_half_anchor25,0.0002638725986009514,38,25,25,-1.4944297448076773,-1.4932717138760132,false,false,0.751197942485476
0.5,tuning,29,80000,5,C_target25,0.0002638725986009514,38,25,25,-1.4944297448076773,-1.4932717138760132,false,false,0.751197942485476
0.5,tuning,29,80000,6,B_alpha_half_anchor25,0.00019434022703931545,33,25,25,-0.9985006344990952,-0.9970440726171376,false,false,1.1372293674543315
0.5,tuning,29,80000,6,C_target25,0.00019434022703931545,33,25,25,-0.9985006344990952,-0.9970440726171376,false,false,1.1372293674543315
0.5,tuning,29,80000,7,B_alpha_half_anchor25,0.00027365764062009697,31,25,25,-0.002475329635566335,-0.0014349027674474453,false,false,0.9924333042822502
0.5,tuning,29,80000,7,C_target25,0.00027365764062009697,31,25,25,-0.002475329635566335,-0.0014349027674474453,false,false,0.9924333042822502
