point,direction,h,objA_registered,objB_fixed_dual_raw,objC_fd_Delta,ratio_A_vs_C,ratio_B_vs_C,switch_bp,switch_bm,switch_pm,cells_with_switches,min_dist_to_draw,link_switch_bp,link_switch_bm,link_switch_pm,Delta_base,eval_p_Delta,eval_m_Delta,eval_p_nStatus,eval_m_nStatus
mixed_Af_radius_0.002,ordinary_participation,3.0e-6,0.0,0.0,0.0,NaN,NaN,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021628162231727,0.00010021628162231727,0,0
mixed_Af_radius_0.002,ordinary_participation,1.0e-5,0.0,0.0,0.0,NaN,NaN,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021628162231727,0.00010021628162231727,0,0
mixed_Af_radius_0.002,ordinary_participation,3.0e-5,0.0,0.0,0.0,NaN,NaN,0,0,0,0,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021628162231727,0.00010021628162231727,0,0
mixed_Af_radius_0.002,ordinary_participation,0.0001,1.7407332969268996e8,1.7407332969268957e8,1.70979991253334e8,1.0180918154029654,1.0180918154029632,0,1,1,1,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021628162231727,9.679668179725059e-5,0,0
mixed_Af_radius_0.002,ordinary_participation,0.0003,2.284281011626843e8,2.2842810116268405e8,2.110396861152652e8,1.0823940528319491,1.082394052831948,0,5,5,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00010021628162231727,8.755390045540136e-5,0,0
mixed_Af_radius_0.002,ordinary_participation,0.001,2.0270756893120515e8,2.0270756893120512e8,1.8675659360116675e8,1.0854105069195197,1.0854105069195197,6,11,17,2,6.395755449695173e-7,0,0,0,0.00010021628162231727,0.00011477345435623118,7.742213563599783e-5,0,0
mixed_Af_radius_0.006,technology_pivot_sensitive,1.0e-7,-1.985662975083173e8,-1.9835002165287733e8,-1.98350021406472e8,1.0010903759944754,1.0000000012422754,0,0,0,0,6.395755449695173e-7,0,0,0,0.0008763370935246757,0.0008763351100899471,0.0008763390770903753,0,0
mixed_Af_radius_0.006,technology_pivot_sensitive,3.0e-7,-1.9835002155715877e8,-1.9835002154732746e8,-1.9835002157090935e8,0.9999999999306751,0.9999999998811097,0,0,0,0,6.395755449695173e-7,0,0,0,0.0008763370935246757,0.0008763311436133724,0.0008763430446146667,0,0
mixed_Af_radius_0.006,technology_pivot_sensitive,1.0e-6,-9.72172954938941e9,-9.721729549390265e9,-9.833964925967577e9,0.9885869659467873,0.9885869659468742,0,1,1,1,6.395755449695173e-7,0,0,0,0.0008763370935246757,0.0008763172650707666,0.0008782840580559601,0,0
mixed_Af_radius_0.006,technology_pivot_sensitive,3.0e-6,-3.37279628650175e9,-3.372796286501611e9,-3.4118292397559295e9,0.9885595232025821,0.9885595232025415,0,1,1,1,6.395755449695173e-7,0,0,0,0.0008763370935246757,0.0008762776474525414,0.000878324744996395,0,0
mixed_Af_radius_0.006,technology_pivot_sensitive,1.0e-5,-1.1506696446431901e9,-1.150669644643087e9,-1.1640817490557714e9,0.9884783827051148,0.9884783827050261,0,1,1,1,6.395755449695173e-7,0,0,0,0.0008763370935246757,0.0008761393983346448,0.0008784675618327564,0,0
mixed_Af_radius_0.006,technology_pivot_sensitive,3.0e-5,-4.958959349373931e8,-4.9589593493749076e8,-5.148864477720631e8,0.9631170854916793,0.9631170854918689,0,2,2,2,6.395755449695173e-7,0,0,0,0.0008763370935246757,0.0008757479370842371,0.0008788372557708695,0,0
mixed_Af_radius_0.006,technology_pivot_sensitive,0.0001,-8.632151057906083e8,-8.632151057906262e8,-8.8848024131037e8,0.9715636495387905,0.9715636495388106,5,7,12,2,6.395755449695173e-7,0,0,0,0.0008763370935246757,0.0008692401534643577,0.0008870097582905651,0,0
mixed_Af_radius_0.006,technology_pivot_sensitive,0.0003,-9.585034422206792e8,-9.585034422206973e8,-1.0052131414022764e9,0.9535325422462773,0.9535325422462952,21,23,44,2,6.395755449695173e-7,0,0,0,0.0008763370935246757,0.0008584915670446275,0.000918804355528764,0,0
