point,direction,step_type,epsilon,obj_old,obj_new,improves_objective,Delta0,Delta_new,within_budget,delta_budget,status
seed29_delta0.1_upper_g-0.0999,upper,projected_tangent,1.0e-5,-0.09990782556349809,-0.09991504757320502,false,0.10023830124967525,0.1002215043038756,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,projected_tangent,3.0e-5,-0.09990782556349809,-0.09992949159261888,false,0.10023830124967525,0.10016813698182868,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,projected_tangent,0.0001,-0.09990782556349809,-0.09998004566056737,false,0.10023830124967525,0.10033517751355223,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,pure_objective,1.0e-6,-0.09990782556349809,-0.09990882556349809,false,0.10023830124967525,0.10023966705586576,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,pure_objective,3.0e-6,-0.09990782556349809,-0.09991082556349809,false,0.10023830124967525,0.10024239879106267,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,pure_objective,1.0e-5,-0.09990782556349809,-0.09991782556349808,false,0.10023830124967525,0.1003259946818402,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,pure_objective,3.0e-5,-0.09990782556349809,-0.09993782556349809,false,0.10023830124967525,0.10042777604121988,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,pure_objective,0.0001,-0.09990782556349809,-0.10000782556349809,false,0.10023830124967525,0.1006248258037719,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_2,1.0e-6,-0.09990782556349809,-0.09990796731895434,false,0.10023830124967525,0.1002385488998035,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_2,3.0e-6,-0.09990782556349809,-0.09990825082986682,false,0.10023830124967525,0.10023904421433373,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_2,1.0e-5,-0.09990782556349809,-0.09990924311806053,false,0.10023830124967525,0.10024100179780601,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_2,3.0e-5,-0.09990782556349809,-0.09991207822718542,false,0.10023830124967525,0.10028979348325623,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_2,0.0001,-0.09990782556349809,-0.09992200110912253,false,0.10023830124967525,0.10021232208641484,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_1,1.0e-6,-0.09990782556349809,-0.09990795754678562,false,0.10023830124967525,0.10023830975480144,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_1,3.0e-6,-0.09990782556349809,-0.09990822151336068,false,0.10023830124967525,0.10021216437718378,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_1,1.0e-5,-0.09990782556349809,-0.09990914539637337,false,0.10023830124967525,0.1002122241458794,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_1,3.0e-5,-0.09990782556349809,-0.09991178506212395,false,0.10023830124967525,0.10028625381077783,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,random_tangent_1,0.0001,-0.09990782556349809,-0.09992102389225095,false,0.10023830124967525,0.10035467803608222,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,objective_gradient,1.0e-6,-0.09990782556349809,-0.09990882556349809,false,0.10023830124967525,0.10023966705586576,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,objective_gradient,3.0e-6,-0.09990782556349809,-0.09991082556349809,false,0.10023830124967525,0.10024239879106267,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,objective_gradient,1.0e-5,-0.09990782556349809,-0.09991782556349808,false,0.10023830124967525,0.1003259946818402,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,objective_gradient,3.0e-5,-0.09990782556349809,-0.09993782556349809,false,0.10023830124967525,0.10042777604121988,false,0.1,FiniteSolved
seed29_delta0.1_upper_g-0.0999,upper,objective_gradient,0.0001,-0.09990782556349809,-0.10000782556349809,false,0.10023830124967525,0.1006248258037719,false,0.1,FiniteSolved
seed29_delta0.1_lower_g-0.0185,lower,random_tangent_3,1.0e-6,0.0185350879704246,0.018534967294010576,false,2.5148317660166875,2.514808496665414,false,0.1,FiniteSolved
