point,direction,step_type,epsilon,obj_improves,predicted_obj_change,realized_obj_change,delta_finite_after_step,predicted_delta_change,realized_delta_change,new_status,Delta0
D4_calibration,upper,neg_DeltaStar_grad,0.0001,false,1.00900223718376e-5,1.0090022371837815e-5,true,-3.6587462494893794e-6,-3.159310530909202e-7,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,projected_tangent,1.0e-8,true,-9.948965498249463e-9,-9.948965498662865e-9,true,-1.3959205290467257e-26,-1.641448549941771e-11,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,projected_tangent,3.0e-8,true,-2.984689649474839e-8,-2.9846896495988595e-8,true,-4.1877615871401764e-26,-4.923809562164776e-11,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,projected_tangent,1.0e-7,true,-9.948965498249461e-8,-9.948965497968976e-8,true,-1.3959205290467257e-25,-1.6406444841214298e-10,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,projected_tangent,3.0e-7,true,-2.9846896494748385e-7,-2.9846896494600816e-7,true,-4.187761587140177e-25,-4.91657308943358e-10,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,projected_tangent,1.0e-6,true,-9.948965498249462e-7,-9.948965498246531e-7,true,-1.3959205290467255e-24,-7.011140599510717e-9,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,projected_tangent,3.0e-6,true,-2.9846896494748386e-6,-2.9846896494739594e-6,true,-4.187761587140177e-24,-1.0133975297512083e-8,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,projected_tangent,1.0e-5,true,-9.948965498249464e-6,-9.948965498246531e-6,true,-1.3959205290467258e-23,-2.0501283491152637e-8,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,projected_tangent,3.0e-5,true,-2.9846896494748386e-5,-2.9846896494746533e-5,true,-4.187761587140177e-23,-4.081510365596004e-8,FiniteSolved,7.554508757038378e-6
D4_calibration,upper,projected_tangent,0.0001,true,-9.948965498249463e-5,-9.948965498249307e-5,true,-1.3959205290467258e-22,-2.0741716750243965e-7,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,pure_g,1.0e-8,true,-1.0e-8,-1.0000000001675335e-8,true,-3.691683151022473e-11,1.0066350578346716e-11,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,pure_g,3.0e-8,true,-3.0e-8,-2.999999999808711e-8,true,-1.1075049453067419e-10,3.020438473663826e-11,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,pure_g,1.0e-7,true,-1.0e-7,-1.0000000000287557e-7,true,-3.691683151022473e-10,1.0074347835513646e-10,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,pure_g,3.0e-7,true,-3.0e-7,-3.000000000016878e-7,true,-1.1075049453067419e-9,3.0276355933035845e-10,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,pure_g,1.0e-6,true,-1.0e-6,-1.000000000001e-6,true,-3.691683151022473e-9,1.0154317263962265e-9,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,pure_g,3.0e-6,true,-3.0e-6,-3.0000000000030003e-6,true,-1.1075049453067419e-8,3.0996107145706356e-9,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,pure_g,1.0e-5,true,-1.0e-5,-1.0000000000003062e-5,true,-3.6916831510224736e-8,1.0954145176478868e-8,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,pure_g,3.0e-5,true,-3.0e-5,-3.0000000000002247e-5,true,-1.1075049453067419e-7,5.350102886779406e-8,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,pure_g,0.0001,true,-0.0001,-0.00010000000000000286,true,-3.691683151022473e-7,1.7751876330443294e-7,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,neg_DeltaStar_grad,1.0e-8,true,-1.00900223718376e-9,-1.0090022359299233e-9,true,-3.6587462494893796e-10,-6.210124628993035e-11,FiniteSolved,7.554508757038378e-6
D4_calibration,lower,neg_DeltaStar_grad,3.0e-8,true,-3.0270067115512795e-9,-3.027006714728664e-9,true,-1.0976238748468138e-9,-1.8629711719650216e-10,FiniteSolved,7.554508757038378e-6
