seed,direction,block,algorithm,delta,best_g,gamma_prime,kappa_ratio,GT,incumbent_source,dlogA,dlogf,DeltaStar,status,wall
49,upper,full_joint,sqp,0.03,-0.08606587484725217,0.9175337868312342,0.8945019506874136,0.10549804931258644,multistart:gamma_only_best,0.056688896521653376,0.06289248948601005,0.021208732361098853,-410,39.0362548828125
49,upper,gamma_only,active,0.1,-0.1102577701383769,0.8956032457670016,0.8801911972805598,0.11980880271944017,cold_verified,0.0,0.0,0.09984648718017514,-200,4.865293025970459
49,upper,gamma_technology,active,0.1,-0.05954257731814793,0.9421954165831894,0.9104593770264802,0.08954062297351983,cold_verified,0.14397738983222083,0.0,0.032407657944181954,-200,2.043302059173584
49,upper,gamma_participation,active,0.1,-0.05957695675349453,0.9421630249935866,0.9104385098794224,0.08956149012057757,cold_verified,0.0,0.2301196775427441,0.09858149365872165,-200,1.6834461688995361
49,upper,full_joint,sqp,0.1,-0.11035598281042895,0.895515290498368,0.8801335685476033,0.11986643145239673,multistart:gamma_only_best,0.1572624049240236,0.15756378933237622,0.09997773331873559,-101,39.59525513648987
49,upper,gamma_only,active,0.3,-0.1212602701383769,0.8858033814192139,0.8737586151839228,0.12624138481607716,cold_verified,0.0,0.0,0.19854023470220405,-200,1.852834939956665
49,upper,gamma_technology,active,0.3,-0.059542586514358606,0.9421954079185619,0.9104593714446293,0.0895406285553707,cold_verified,0.14399331190639228,0.0,0.03240939484891945,-200,1.9612979888916016
49,upper,gamma_participation,active,0.3,-0.05957744281295219,0.942162567046449,0.9104382148613047,0.08956178513869528,cold_verified,0.0,0.230756818313971,0.03433920430976293,-200,1.9296879768371582
49,upper,full_joint,sqp,0.3,-0.13461122355860486,0.874055657889351,0.866016115832938,0.13398388416706197,multistart:gamma_only_best,0.3534468796359081,0.39661180905270516,0.29998193760897723,-410,56.349621057510376
49,upper,gamma_only,active,1.0,-0.1269109576383769,0.8808120986948966,0.8704732493378856,0.1295267506621144,cold_verified,0.0,0.0,0.7833309315229268,-200,2.5514979362487793
49,upper,gamma_technology,active,1.0,-0.05954258675307251,0.9421954076936468,0.9104593712997365,0.08954062870026347,cold_verified,0.14399372520708878,0.0,0.03240943993687354,-200,2.350766181945801
49,upper,gamma_participation,active,1.0,-0.059582678061881576,0.9421576346037899,0.9104350372863902,0.08956496271360981,cold_verified,0.0,0.24063599656071585,0.36614594372545334,-200,1.8669350147247314
49,upper,full_joint,sqp,1.0,-0.18225221123297378,0.8333911233045332,0.8389430782806826,0.1610569217193174,multistart:gamma_only_best,0.5619334610093268,0.5612486080160912,0.9715392878130404,-200,17.536600828170776
49,lower,gamma_only,active,0.0001,-0.058437361792474954,0.9432373212443617,0.9111304601192604,0.08886953988073965,cold_verified,0.0,0.0,9.621640835797874e-5,-400,24.211369037628174
49,lower,gamma_technology,active,0.0001,-0.05944924024475852,0.9422833624501753,0.9105160318649218,0.0894839681350782,cold_verified,0.007776806431670569,0.0,9.998345201829719e-5,-200,8.918744087219238
49,lower,gamma_participation,active,0.0001,-0.05945209173326179,0.9422806755438313,0.9105143009825691,0.08948569901743086,cold_verified,0.0,0.004586542714906071,9.862822321794508e-5,-200,1.9811170101165771
49,lower,full_joint,sqp,0.0001,-0.0584344051762337,0.9432401100392678,0.9111322560297745,0.08886774397022545,multistart:gamma_only_best,0.0033481757060682448,0.0034985116099258756,9.89206031383026e-5,-101,50.18347382545471
49,lower,gamma_only,active,0.0003,-0.05767727248916574,0.9439545383827289,0.9115922707929337,0.0884077292070663,cold_verified,0.0,0.0,0.00029592877929315235,-200,11.220935106277466
49,lower,gamma_technology,active,0.0003,-0.059444692507324,0.9422876477172408,0.9105187923943352,0.0894812076056648,cold_verified,0.01353688219668705,0.0,0.00029800957373439947,-200,9.677214860916138
