label,radius,dir_idx,sign,gp,Delta,feasible,improved
upper_lfixcomposite_sr1_60s,0.005,1,-1.0,0.8876359584642945,1.3182577274303537,false,false
upper_lfixcomposite_sr1_60s,0.005,2,1.0,0.8926359584642946,1.0001265802358328,false,false
upper_lfixcomposite_sr1_60s,0.005,2,-1.0,0.8926359584642946,1.0004998944868073,false,false
upper_lfixcomposite_sr1_60s,0.005,3,1.0,0.8926359584642946,1.0000004416682944,true,false
upper_lfixcomposite_sr1_60s,0.005,3,-1.0,0.8926359584642946,1.000123973826043,false,false
upper_lfixcomposite_sr1_60s,0.005,4,1.0,0.8926359584642946,1.0001430198926573,false,false
upper_lfixcomposite_sr1_60s,0.005,4,-1.0,0.8926359584642946,1.0006082058332262,false,false
upper_lfixcomposite_sr1_60s,0.005,5,1.0,0.8926359584642946,1.0002196111163961,false,false
upper_lfixcomposite_sr1_60s,0.005,5,-1.0,0.8926359584642946,0.9999821584946333,true,false
upper_lfixcomposite_sr1_60s,0.005,6,1.0,0.8926359584642946,1.0002131547029804,false,false
upper_lfixcomposite_sr1_60s,0.005,6,-1.0,0.8926359584642946,0.9996568780113886,true,false
upper_lfixcomposite_sr1_60s,0.005,7,1.0,0.8926359584642946,0.9994903821536207,true,false
upper_lfixcomposite_sr1_60s,0.005,7,-1.0,0.8926359584642946,1.0007549075531863,false,false
upper_lfixcomposite_sr1_60s,0.005,8,1.0,0.8926359584642946,1.0005007940568562,false,false
upper_lfixcomposite_sr1_60s,0.005,8,-1.0,0.8926359584642946,0.9997843358527129,true,false
upper_lfixcomposite_sr1_60s,0.005,9,1.0,0.8926359584642946,1.0002618525279259,false,false
upper_lfixcomposite_sr1_60s,0.005,9,-1.0,0.8926359584642946,0.9997495210463776,true,false
upper_lfixcomposite_sr1_60s,0.005,10,1.0,0.8926359584642946,1.000392623635577,false,false
upper_lfixcomposite_sr1_60s,0.005,10,-1.0,0.8926359584642946,1.0008393914002474,false,false
upper_lfixcomposite_sr1_60s,0.005,11,1.0,0.8926359584642946,1.0002737478026296,false,false
upper_lfixcomposite_sr1_60s,0.005,11,-1.0,0.8926359584642946,0.9998815226861721,true,false
upper_lfixcomposite_sr1_60s,0.005,12,1.0,0.8926359584642946,1.0005495386076184,false,false
upper_lfixcomposite_sr1_60s,0.005,12,-1.0,0.8926359584642946,1.0003176607305013,false,false
upper_lfixcomposite_sr1_60s,0.005,13,1.0,0.8926359584642946,1.0008146647712042,false,false
upper_lfixcomposite_sr1_60s,0.005,13,-1.0,0.8926359584642946,0.9999897324997883,true,false
upper_lfixcomposite_sr1_60s,0.005,14,1.0,0.8926359584642946,1.0000208614949804,false,false
upper_lfixcomposite_sr1_60s,0.005,14,-1.0,0.8926359584642946,0.9999770462781667,true,false
upper_lfixcomposite_sr1_60s,0.005,15,1.0,0.8926359584642946,1.0000195101412142,false,false
upper_lfixcomposite_sr1_60s,0.005,15,-1.0,0.8926359584642946,0.9999726658623826,true,false
upper_lfixcomposite_sr1_60s,0.005,16,1.0,0.8926359584642946,1.0000195829586471,false,false
upper_lfixcomposite_sr1_60s,0.005,16,-1.0,0.8926359584642946,0.9999754542092439,true,false
upper_lfixcomposite_sr1_60s,0.005,17,1.0,0.8912030221635194,1.0696331827934236,false,false
upper_lfixcomposite_sr1_60s,0.005,17,-1.0,0.8940688947650697,0.9414145315839172,true,false
upper_lfixcomposite_sr1_60s,0.005,18,1.0,0.8925393362013988,1.005186189665325,false,false
upper_lfixcomposite_sr1_60s,0.005,18,-1.0,0.8927325807271903,0.9966583738544516,true,false
upper_lfixcomposite_sr1_60s,0.005,19,1.0,0.8927733854695056,0.9947391994006544,true,false
upper_lfixcomposite_sr1_60s,0.005,19,-1.0,0.8924985314590835,1.0074704255303921,false,false
upper_lfixcomposite_sr1_60s,0.005,20,1.0,0.8925421456985605,1.0047027917266937,false,false
upper_lfixcomposite_sr1_60s,0.005,20,-1.0,0.8927297712300286,0.9969718048744828,true,false
upper_lfixcomposite_sr1_60s,0.005,21,1.0,0.8928964625861927,0.9894744205577741,true,false
upper_lfixcomposite_sr1_60s,0.005,21,-1.0,0.8923754543423964,1.013727030427695,false,false
upper_lfixcomposite_sr1_60s,0.005,22,1.0,0.893569497193711,0.9600207706720798,true,false
upper_lfixcomposite_sr1_60s,0.005,22,-1.0,0.8917024197348781,1.045785314659958,false,false
upper_lfixcomposite_sr1_60s,0.005,23,1.0,0.8910356946984027,1.0786446302131838,false,false
upper_lfixcomposite_sr1_60s,0.005,23,-1.0,0.8942362222301864,0.9336177314114718,true,false
upper_lfixcomposite_sr1_60s,0.005,24,1.0,0.8922560818215269,1.0181775284243408,false,false
upper_lfixcomposite_sr1_60s,0.005,24,-1.0,0.8930158351070622,0.9834462846951384,true,false
upper_lfixcomposite_sr1_60s,0.005,25,1.0,0.8926358312266305,1.0006169563475744,false,false
upper_lfixcomposite_sr1_60s,0.005,25,-1.0,0.8926360857019586,1.0005546192299306,false,false
upper_lfixcomposite_sr1_60s,0.005,26,1.0,0.8932584136683897,0.9739645358563856,true,false
upper_lfixcomposite_sr1_60s,0.005,26,-1.0,0.8920135032601995,1.0293047250433875,false,false
upper_lfixcomposite_sr1_60s,0.005,27,1.0,0.8930626047276845,0.9821687530496734,true,false
upper_lfixcomposite_sr1_60s,0.005,27,-1.0,0.8922093122009046,1.020391966849932,false,false
upper_lfixcomposite_sr1_60s,0.005,28,1.0,0.8950511831105434,0.9030933378484507,true,false
upper_lfixcomposite_sr1_60s,0.005,28,-1.0,0.8902207338180457,1.1248970781969252,false,false
upper_lfixcomposite_sr1_60s,0.005,29,1.0,0.8932917986950819,0.9708467992615613,true,false
upper_lfixcomposite_sr1_60s,0.005,29,-1.0,0.8919801182335072,1.0312455108898086,false,false
upper_lfixcomposite_sr1_60s,0.005,30,1.0,0.8916424874133871,1.0467623450327015,false,false
upper_lfixcomposite_sr1_60s,0.005,30,-1.0,0.893629429515202,0.9581880642581564,true,false
upper_lfixcomposite_sr1_60s,0.005,31,1.0,0.8936104717396952,0.9584207919123843,true,false
upper_lfixcomposite_sr1_60s,0.005,31,-1.0,0.8916614451888939,1.0470168875641228,false,false
upper_lfixcomposite_sr1_60s,0.005,32,1.0,0.8935520759453742,0.9612923599829949,true,false
upper_lfixcomposite_sr1_60s,0.005,32,-1.0,0.8917198409832149,1.0436654146670492,false,false
upper_lfixcomposite_sr1_60s,0.005,33,1.0,0.8931306263067608,0.9784423615936485,true,false
upper_lfixcomposite_sr1_60s,0.005,33,-1.0,0.8921412906218283,1.0229828162692964,false,false
upper_lfixcomposite_sr1_60s,0.005,34,1.0,0.8940308893245199,0.9417323260103814,true,false
upper_lfixcomposite_sr1_60s,0.005,34,-1.0,0.8912410276040692,1.0688869721426628,false,false
upper_lfixcomposite_sr1_60s,0.005,35,1.0,0.8925663265309289,1.0033788688522849,false,false
upper_lfixcomposite_sr1_60s,0.005,35,-1.0,0.8927055903976602,0.9979698235152294,true,false
upper_lfixcomposite_sr1_60s,0.005,36,1.0,0.8950478974457776,0.9023831654042485,true,false
upper_lfixcomposite_sr1_60s,0.005,36,-1.0,0.8902240194828115,1.1246725846358208,false,false
upper_lfixcomposite_sr1_60s,0.02,1,1.0,0.9126359584642946,0.5173712311178499,true,false
upper_lfixcomposite_sr1_60s,0.02,1,-1.0,0.8726359584642945,NaN,false,false
upper_lfixcomposite_sr1_60s,0.02,2,1.0,0.8926359584642946,1.003808213077438,false,false
upper_lfixcomposite_sr1_60s,0.02,2,-1.0,0.8926359584642946,1.0050594102462158,false,false
upper_lfixcomposite_sr1_60s,0.02,3,1.0,0.8926359584642946,1.000772039256478,false,false
upper_lfixcomposite_sr1_60s,0.02,3,-1.0,0.8926359584642946,1.0011165854030404,false,false
upper_lfixcomposite_sr1_60s,0.02,4,1.0,0.8926359584642946,1.006247005897863,false,false
upper_lfixcomposite_sr1_60s,0.02,4,-1.0,0.8926359584642946,1.0077830730983297,false,false
upper_lfixcomposite_sr1_60s,0.02,5,1.0,0.8926359584642946,1.0022583972601835,false,false
upper_lfixcomposite_sr1_60s,0.02,5,-1.0,0.8926359584642946,1.0001599281497708,false,false
upper_lfixcomposite_sr1_60s,0.02,6,1.0,0.8926359584642946,1.0003635915027227,false,false
upper_lfixcomposite_sr1_60s,0.02,6,-1.0,0.8926359584642946,1.000042626389704,false,false
upper_lfixcomposite_sr1_60s,0.02,7,1.0,0.8926359584642946,1.0000237729306969,false,false
upper_lfixcomposite_sr1_60s,0.02,7,-1.0,0.8926359584642946,1.0010868277812757,false,false
upper_lfixcomposite_sr1_60s,0.02,8,1.0,0.8926359584642946,1.0010581631573752,false,false
upper_lfixcomposite_sr1_60s,0.02,8,-1.0,0.8926359584642946,1.000111134281793,false,false
upper_lfixcomposite_sr1_60s,0.02,9,1.0,0.8926359584642946,1.0005252649151424,false,false
upper_lfixcomposite_sr1_60s,0.02,9,-1.0,0.8926359584642946,0.9985781317552643,true,false
